origem,doi,titulo,autores,ano,venue,fase,decisao,motivo,notas
ieee,10.1109/ICAACE61206.2024.10549138,The Path Planning Research for Mobile Robot Based on Reinforcement Learning Particle Swarm Algorithm,Y. Yang; L. Zhang; H. Guo,2024,2024 7th International Conference on Advanced Algorithms and Control Engineering (ICAACE),titulo_resumo,excluir,E1,
ieee,10.1109/ICCASIT62299.2024.10827981,Path planning of mobile robot based on particle swarm algorithm in complex situation,S. Chen; Z. Zhang; K. Zhou,2024,2024 IEEE 6th International Conference on Civil Aviation Safety and Information Technology (ICCASIT),titulo_resumo,excluir,E1,
ieee,10.1109/ICA-SYMP56348.2023.10044940,Robot Arm Movement Control by Model-based Reinforcement Learning using Machine Learning Regression Techniques and Particle Swarm Optimization,M. Mueangprasert; P. Chermprayong; K. Boonlong,2023,"2023 Third International Symposium on Instrumentation, Control, Artificial Intelligence, and Robotics (ICA-SYMP)",titulo_resumo,excluir,E1,
ieee,10.1109/ISRIMT59937.2023.10428405,Research on Path Planning of Body Welding Robot Based on Improved Particle Swarm Optimization,L. Yan; Z. Shu,2023,2023 5th International Symposium on Robotics & Intelligent Manufacturing Technology (ISRIMT),titulo_resumo,excluir,E3,
ieee,10.1109/CAC51589.2020.9326521,Path Planning of Mobile Robot Based on Improved Particle Swarm,Y. Qi; B. Xie; X. Huang; M. Yuan; C. Zhu,2020,2020 Chinese Automation Congress (CAC),titulo_resumo,excluir,E1,
ieee,10.1109/ICAACE65325.2025.11020471,An Upgraded Particle Swarm Optimization Framework for highly Efficient Robot Navigation,Y. Tan,2025,2025 8th International Conference on Advanced Algorithms and Control Engineering (ICAACE),titulo_resumo,excluir,E1,
ieee,10.1109/CCDC49329.2020.9163983,Research on Robot Tracking of Books Returning to Bookshelf Based on Particle Swarm Optimization Fuzzy PID Control,R. Xiaolin; Y. Yi; G. Long; C. Jianbo; M. Tianxiang; Y. Jingya; H. Qinqin,2020,2020 Chinese Control And Decision Conference (CCDC),titulo_resumo,excluir,E1,
ieee,10.1109/ICBAIE52039.2021.9390071,Robot Path Planning Based on Improved Particle Swarm Optimization,W. Fei; W. Ziwei; L. Meijin,2021,"2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)",titulo_resumo,excluir,E1,
ieee,10.1109/CAC51589.2020.9327685,Ameliorated Particle Swarm Optimization Algorithm and Its Application in Robot Path Planning,L. Dong; X. Yuan; C. Zhang; Y. Song; Q. Xu; F. Zhou,2020,2020 Chinese Automation Congress (CAC),titulo_resumo,excluir,E1,
ieee,10.1109/PSGEC54663.2022.9881021,Robot Path Planning Based on Improved Particle Swarm Optimization,L. Chen; Y. Zhang; Y. Xue; Y. Chen,2022,2022 Power System and Green Energy Conference (PSGEC),titulo_resumo,excluir,E1,
ieee,10.1109/ICCAR61844.2024.10569525,Research on Robot Path Planning Technology by Integrating Particle Swarm Optimization Algorithm and DWA Algorithm,S. Fu; H. Huang; S. Wang,2024,"2024 10th International Conference on Control, Automation and Robotics (ICCAR)",titulo_resumo,excluir,E1,
ieee,10.1109/ICNETIC59568.2023.00137,Collaborative Path Planning Arithmetic for Multi Robot System of Power Intelligent Inspection Based on Particle Swarm Optimization,K. Qiu; Z. Wang; G. Chen; M. Fang; Z. Zhang,2023,"2023 International Conference on Networking, Informatics and Computing (ICNETIC)",texto_integral,excluir,E8,
ieee,10.1109/NIGERCON62786.2024.10927150,Development of a Multi-Robot Model for Target Identification and Tracking in Hostile Environments Using Particle Swarm Optimization Technique,I. Opara; M. O. Onibonoje,2024,2024 IEEE 5th International Conference on Electro-Computing Technologies for Humanity (NIGERCON),texto_integral,excluir,E8,
ieee,10.1109/ISCER58777.2023.00064,A Path Planing Algorithm for Mobile Robot Based on Particle Swarm,C. -L. Li; N. Wang; J. -F. Wang; S. -y. Xu,2023,2023 2nd International Symposium on Control Engineering and Robotics (ISCER),titulo_resumo,excluir,E1,
ieee,10.1109/CONECCT65861.2025.11306782,Decentralized Multi-Robot Systems: Harnessing Swarm Intelligence for Autonomous Operations,P. L. N. P. Kumar; K. K. Sujana,2025,"2025 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)",texto_integral,excluir,E8,
ieee,10.1109/ICACR62205.2024.11053722,Impedance Control of Industrial Robot Based on Multi-Directional Particle Swarm Optimization,H. Li; X. Hu; X. Zhang; F. Zeng,2024,"2024 8th International Conference on Automation, Control and Robots (ICACR)",titulo_resumo,excluir,E1,
ieee,10.1109/ISCEIC59030.2023.10271235,Path Planning of Service Robot Based on Improved Particle Swarm Optimization Algorithm,X. Zhan; Z. Chen,2023,2023 4th International Symposium on Computer Engineering and Intelligent Communications (ISCEIC),titulo_resumo,excluir,E1,
ieee,10.1109/ICBAIE52039.2021.9390056,Stable grasping control of robot based on particle swarm optimization,L. Ye; D. Zheng,2021,"2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)",titulo_resumo,excluir,E1,
ieee,10.1109/IRAC67707.2025.11381210,Path Planning for Inspection Robots Based on an Improved Particle Swarm Optimization Algorithm,X. Yan; C. Wang,2025,2025 International Conference on Intelligent Robotics and Automatic Control (IRAC),titulo_resumo,excluir,E1,
ieee,10.1109/ICICML57342.2022.10009821,A Distributed Multi-Robot Path Planning Algorithm for Searching Multiple Hidden Targets,L. Zhang; J. Qi,2022,"2022 International Conference on Image Processing, Computer Vision and Machine Learning (ICICML)",texto_integral,excluir,E8,
ieee,10.1109/AEMCSE51986.2021.00085,A New Algorithm For Robot Path Planning Based On Automatic Shunting Of Ants And Particle Swarms,G. Haitao; Z. Xugang; S. Chuanling; Q. Jilin,2021,"2021 4th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)",titulo_resumo,excluir,E1,
ieee,10.1109/I2CACIS57635.2023.10193290,Multi-robot Path Planning using Modified Particle Swarm Optimization,Y. L. Poy; S. Darmaraju; B. -H. Kwan,2023,2023 IEEE International Conference on Automatic Control and Intelligent Systems (I2CACIS),texto_integral,excluir,E8,
ieee,10.1109/IMCEC59810.2024.10575806,Multi Robot Path Planning based on Reinforcement Learning,X. Liu; Z. Wang; S. Liu,2024,"2024 IEEE 6th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)",texto_integral,excluir,E8,
ieee,10.1109/ICSET65917.2025.11283700,Optimization of PID Controller for Robotic Arm Tracking Using Particle Swarm Optimization and Deep Reinforcement Learning,W. F. Wan Tarmizi; F. Samsuri; M. L. M. Zain,2025,2025 IEEE 15th International Conference on System Engineering and Technology (ICSET),titulo_resumo,excluir,E1,
ieee,10.1109/ISRIMT67769.2025.11413095,Research on Path Planning of Dredging Robots Based on an Improved Particle Swarm Optimization Algorithm,H. Wang; Z. Liu,2025,2025 7th International Symposium on Robotics and Intelligent Manufacturing Technology (ISRIMT),titulo_resumo,excluir,E1,
ieee,10.1109/RAITS68656.2026.11580122,Multi-robot Pose Planning Method based on Particle Swarm Optimization and Gradient Descent Combination,S. He; C. Su; E. Wang; J. Zou; Z. Wang,2026,"2026 International Conference on Robotics, Automation and Intelligent Transportation Systems (RAITS)",texto_integral,excluir,E7,
ieee,10.1109/EI252483.2021.9713324,Path Planning of Electric Power Inspection Robot Based on Improved Lion Swarm Algorithm,S. Qu; Y. Dou; Y. Wang; R. Sun; J. Liu; W. Yang,2021,2021 IEEE 5th Conference on Energy Internet and Energy System Integration (EI2),titulo_resumo,excluir,E1,
ieee,10.1109/ICASSPW62465.2024.10627769,QMARL: A Quantum Multi-Agent Reinforcement Learning Framework for Swarm Robots Navigation,W. Chen; J. Wan; F. Ye; R. Wang; C. Xu,2024,"2024 IEEE International Conference on Acoustics, Speech, and Signal Processing Workshops (ICASSPW)",texto_integral,excluir,E8,
ieee,10.1109/iCCECE59400.2023.10238593,Research on Adaptive Impedance Control of Robot Manipulator Based on a New Improved Particle Swarm Optimization Algorithm,A. Wu; W. Zheng; C. Wang,2023,"2023 International Conference on Computing, Electronics & Communications Engineering (iCCECE)",titulo_resumo,excluir,E1,
ieee,10.1109/ICCASIT53235.2021.9633525,Cooperative planning of dual arm robot based on Improved Particle Swarm Optimization,X. Chen; J. He,2021,2021 IEEE 3rd International Conference on Civil Aviation Safety and Information Technology (ICCASIT),titulo_resumo,excluir,E1,
ieee,10.1109/ICCC57093.2023.10178888,Using Deep Reinforcement Learning to Solve a Navigation Problem for a Swarm Robotics System,A. Iskandar; H. M. Rostum; B. Kovács,2023,2023 24th International Carpathian Control Conference (ICCC),texto_integral,excluir,E8,
ieee,10.1109/ISPCEM60569.2023.00073,Path Planning of Materials Distribution Robot for Sports Games Based on Improved Particle Swarm Optimization Algorithm,D. Jiang,2023,"2023 3rd International Signal Processing, Communications and Engineering Management Conference (ISPCEM)",titulo_resumo,excluir,E1,
